User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
DM@VTuberの推し事のPro,DM@VTuberの推し事のPro,2021-12-25T02:52:24.000Z,"DM@VTuberの推し事のPro
@dandymania_tw
·
Dec 25, 2021Replying to 
@okajimania
最近PySimpleGUI完全に理解したばかりなのに！やったぜ嬉しい( ´∀｀)
1",1,,
Lucão@127.0.0.1,Lucão@127.0.0.1,2021-12-24T21:45:53.000Z,"Lucão@127.0.0.1
@lucas59356
·
Dec 25, 2021Replying to 
@viniciuscgp
I was looking about PySimpleGUI

Might add in nixpkgs
1
1",1,,1
PySimpleGUI,@PySimpleGUI,2021-12-24T20:14:17.000Z,"PySimpleGUI
@PySimpleGUI
·
Dec 25, 2021Replying to 
@mbilyanov
Perhaps ""decommission"" is a better word.  The account will exist, but the profile will make clear that it's not active & messages aren't checked.  
My hope is by stating explicitly that PySimpleGUI doesn't have social media accounts that it'll be understood who is/isn't present.",,,
Milen Bilyanov,@mbilyanov,2021-12-24T17:59:42.000Z,"Milen Bilyanov
@mbilyanov
·
Dec 25, 2021Replying to 
@PySimpleGUI
I love the project, but closing this account is not a good idea. This account is how I got to know about the PySimpleGUI project after all. So it will be the gateway for many others and besides, people will create fake accounts anyway. Why not keep the real thing around?
1",1,,
PySimpleGUI,@PySimpleGUI,2021-12-24T16:57:21.000Z,"PySimpleGUI
@PySimpleGUI
·
Dec 24, 2021The support over the past week, the sponsorships, donations, and incredibly kind words are SO appreciated and helped me get through the final part of the course. I'm quite hopeful for the future of PySimpleGUI and love this experience. It is truly unbelievable at times.  & !
2
14",,2,14
PySimpleGUI,@PySimpleGUI,2021-12-24T16:52:57.000Z,"PySimpleGUI
@PySimpleGUI
·
Dec 24, 2021The words ""Thank you"" fall short of the gratitude I feel for the individuals that have been selflessly helping me move in a positive direction.  Every morning I write a list of things that I'm thankful for. Users & friends make it an easy list to make. That itself is priceless.
2",,,2
PySimpleGUI,@PySimpleGUI,2021-12-24T16:52:57.000Z,"PySimpleGUI
@PySimpleGUI
·
Dec 24, 2021The messages I read... and re-write in my lab notebook... have been heartwarming, motivating, and touching to the point I'm in tears by the end of the message. I've never experienced anything so special and this part of my life is something I cherish.
1",1,,
PySimpleGUI,@PySimpleGUI,2021-12-24T16:52:56.000Z,"PySimpleGUI
@PySimpleGUI
·
Dec 24, 2021I have no doubt that the PySimpleGUI users will benefit from this move.

I frequently see what you are building with PySimpleGUI and it's been one of the most joyful parts of my life.  It's a guilty pleasure to marvel at the creativity of others.
1",1,,
PySimpleGUI,@PySimpleGUI,2021-12-24T16:52:56.000Z,"PySimpleGUI
@PySimpleGUI
·
Dec 24, 2021project account.  The home for PySimpleGUI has always been http://PySimpleGUI.com (GitHub) and http://PySimpleGUI.org (ReadTheDocs), not Twitter or other social media sites.  I'm still going to be at that home address, as accessible as ever.
1
1",1,,1
PySimpleGUI,@PySimpleGUI,2021-12-24T16:52:56.000Z,"PySimpleGUI
@PySimpleGUI
·
Dec 24, 2021Over the past weeks, I've been absent from Twitter  & PySimpleGUI installs increased. I'm clearly not having an impact on the user community by being here.
The reason for announcing this is so that if a PySimpleGUI account does surface somewhere, then it's likely not an official
1",1,,
PySimpleGUI,@PySimpleGUI,2021-12-24T16:52:55.000Z,"PySimpleGUI
@PySimpleGUI
·
Dec 24, 2021From the beginning, I wanted PySimpleGUI to be about the user, and that none of it be about ME, Mike. The users are the center of the PySimpleGUI universe. But the impact of being on Social Media does impact me & my ability to focus on making this experience a great one for all.
1",1,,
Qiitaマイルストーン,@qiita_milestone,2021-12-23T03:00:00.000Z,"Qiitaマイルストーン
@qiita_milestone
·
Dec 23, 202110LGTM！ | Pythonで簡単にGUIを作ろう！【PySimpleGUIケーススタディ】 by 
@ku_ai_dl
qiita.com
Pythonで簡単にGUIを作ろう！【PySimpleGUIケーススタディ】 - Qiita
0. はじめに 今年Pythonの記事を結構書いてきましたが、最近の記事かつまぁまぁ閲覧数が多かったのがGUIの記事【PySimpleGUI】PythonでオリジナルGUIアプリを作成 だった為に需要はそこそこあると判断し、本...
1",,,1
Jamie Heather,@jamimmunology,2021-12-22T19:32:56.000Z,"Jamie Heather
@jamimmunology
·
Dec 23, 2021Stitchr has some other modes too. If you aren’t so happy at the command line, or if you have an alpha-beta pair you want to make into a single linked expression vector, you could use the GUI version (made possible with the excellent 
@PySimpleGUI
)
1
2",1,,2
smj_tcBt,@smj_tcBot,2021-12-21T02:37:06.000Z,"smj_tcBt
@smj_tcBot
·
Dec 21, 2021Pythonで簡単にGUIを作ろう！【PySimpleGUIケーススタディ】
qiita.com
Pythonで簡単にGUIを作ろう！【PySimpleGUIケーススタディ】 - Qiita
0. はじめに 今年Pythonの記事を結構書いてきましたが、最近の記事かつまぁまぁ閲覧数が多かったのがGUIの記事【PySimpleGUI】PythonでオリジナルGUIアプリを作成 だった為に需要はそこそこあると判断し、本...",,,
ogawa kiyoshi,@kaizen_nagoya,2021-12-20T22:50:58.000Z,"ogawa kiyoshi
@kaizen_nagoya
·
Dec 21, 2021Pythonで簡単にGUIを作ろう！【PySimpleGUIケーススタディ】 https://qiita.com/ku_a_i/items/e3fe06f24741bb7d6db7… #Qiita 
@ku_ai_dl
より
qiita.com
Pythonで簡単にGUIを作ろう！【PySimpleGUIケーススタディ】 - Qiita
0. はじめに 今年Pythonの記事を結構書いてきましたが、最近の記事かつまぁまぁ閲覧数が多かったのがGUIの記事【PySimpleGUI】PythonでオリジナルGUIアプリを作成 だった為に需要はそこそこあると判断し、本...
3",,,3
健吾の進捗日記,@kn5nonikki,2021-12-15T02:26:39.000Z,"健吾の進捗日記
@kn5nonikki
·
Dec 15, 20215.PySimpleGUI
・一言
お手軽デスクトップアプリ作成

・使い方
import pysimplegui as sg
リストにエレメントを詰め込む
window =sg.window：ウィンドウの設定
while 1:
    http://window.read()：表示かつイベントハンドラ

・参照
The following media includes potentially sensitive content. Change settings
View
1",1,,
樹澄【手洗いこそ正義】,@clearwoods,2021-12-13T09:08:57.000Z,"樹澄【手洗いこそ正義】
@clearwoods
·
Dec 13, 2021(´･ω･`)ブロック崩しゲーム、tkinter(というかtkinterで書かれたpysimplegui)さんがマウスイベントに関数をbindしてもevent引数をくれないという謎の現象にぶつかって詰んでる。なんで。
1",1,,
sterrefani,@tehmukai,2021-12-13T08:47:36.000Z,"sterrefani
@tehmukai
·
Dec 13, 2021Import “PySimpleGUI” could not be resolved.

vai tomar no meio do cu oq eu faço SOCORR
1",,,1
Ben Hilburn,@bhilburn,2021-12-16T19:45:09.000Z,"Ben Hilburn
@bhilburn
·
Dec 17, 2021So, PySimpleGUI filed a bug against some SigMF code for a bad design pattern, and appears to have some custom-designed emojis / sticker responses. Pretty neat idea 
2
6",2,,6
"Luigi IV, Conspiracy practician",@LuigiVercotti4,2021-12-16T18:25:04.000Z,"Luigi IV, Conspiracy practician
@LuigiVercotti4
·
Dec 17, 2021If you're a casual Python user and  you're looking for some GUI that is developer-friendly you should definitely check 
@PySimpleGUI
 guys and support their efforts
1",,,1
ゆづる,@792458yuzuru,2021-12-16T16:43:51.000Z,"ゆづる
@792458yuzuru
·
Dec 16, 2021Pythonやっぱ楽。
ただ、PySimpleGUIをあまり覚えていなかった。
2",,,2
Matthew Rowles,@xray_matt,2021-12-16T14:27:15.000Z,"Matthew Rowles
@xray_matt
·
Dec 16, 2021 I'm sponsoring 
@PySimpleGUI
 because I couldn't make GUIs without it! #python #gui
github.com
Sponsor @PySimpleGUI on GitHub Sponsors
PySimpleGUI makes creating Python GUIs trivial. Your code will run on Windows, Mac & Linux with no changes. A complete set of widgets can be arranged in any manner. Multi-window, multi-threaded...
2
3",,2,3
adrastea,@adrastea_j,2021-12-12T21:42:35.000Z,"adrastea
@adrastea_j
·
Dec 13, 2021今日もPythonでPySimpleGUIの練習。
郵便番号から住所を検索するWebAPIと組み合わせたアプリの写経。",,,
okazaki jun,@dario_okazaki,2021-12-12T09:08:53.000Z,"okazaki jun
@dario_okazaki
·
Dec 12, 2021なかなか便利そうなアプリでした

DeepL API x PySimpleGUIで翻訳支援アプリを作成 https://qiita.com/NSsystems_DX/items/18a01f195c31f1d1db8c… #Qiita 
@NSsystems_DX
より
qiita.com
DeepL API x PySimpleGUIで翻訳支援アプリを作成 - Qiita
はじめに はじめまして。NSシステムズと申します。 今更ながらDeepLの世界一の翻訳精度かつ無料のDeepL API Freeに感動しましたので、 PythonのGUIライブラリで一番簡単なPySimpleGUIを使って翻訳...
1
3",,1,3
健吾の進捗日記,@kn5nonikki,2021-12-11T16:39:53.000Z,"健吾の進捗日記
@kn5nonikki
·
Dec 11, 20215.PySimpleGUI
・一言
お手軽デスクトップアプリ作成

・使い方
import pysimplegui as sg
リストにエレメントを詰め込む
window =sg.window：ウィンドウの設定
while 1:
    http://window.read()：表示かつイベントハンドラ

・参照
youtube.com
Pythonでデスクトップアプリを作成！PySimpleGUI編 【Pythonプログラミング 初心者向け】
訂正: Web APIのレスポンスのステータスを判断するコードは以下の方が適切でした。if res.status_code == 200: res_json = res.json()==============================Pythonプログラミングに関する情報を発信しているサプーです！ ...
2",,,2
のんびりブログ,@no3bg,2021-12-11T15:39:36.000Z,"のんびりブログ
@no3bg
·
Dec 11, 2021PySimpleGUIでテーマを見る方法。
一覧で見る方法と、リストを使って見る方法がある。

方法はこちら
https://nonbiri3.com/?p=2120

#python
#プログラミング初心者
6",,,6
